station_id,n_train,tau_well,is_igp
093851076311201,22,9.053000000000003,False
093900076393001,87,4.768,False
093927076461401,18,6.767,False
093949076252601,18,2.3140000000000005,False
093952076323401,18,10.22,False
094000076333001,51,2.35,False
094000076363101,18,6.276000000000001,False
094000076480001,92,2.345,False
094000077090001,48,1.7630000000000001,False
094005076465501,35,5.344,False
094010076364001,69,7.622,False
094011076342001,15,7.71,False
094018076465101,22,6.763000000000001,False
094023076340301,7,3.806,False
094025076474501,18,6.013000000000001,False
094041076232501,21,1.18,False
094042076251501,19,2.4819999999999998,False
094047076222701,15,2.7,False
094100076180001,91,3.18,False
094110076172702,11,1.17,False
094110076365501,42,6.2059999999999995,False
094112076301801,22,4.5520000000000005,False
094118076371801,17,7.14,False
094146077021201,17,5.136,False
094200076210001,94,1.0070000000000001,False
094216076193201,20,2.005,False
094222077112802,14,4.8,False
094230077030001,93,6.204,False
094253077092501,19,3.892,False
094400077051501,94,3.785,False
094400077093001,79,1.9020000000000001,False
094414077131401,15,6.85,False
094459077051401,17,10.11,False
094508077062201,65,19.488,False
094600079010001,43,2.05,False
094700078551501,88,5.156000000000001,False
094900077110101,64,5.8,False
094905077105501,18,5.461,False
095000078470001,33,5.394,False
095000078470002,22,5.351000000000001,False
095030078372001,48,10.045,False
095105078223001,69,8.340000000000002,False
095125078290001,68,15.010000000000002,False
095230078110001,37,9.014,False
095304078112001,75,7.732000000000001,False
095330077235001,29,10.75,False
095400078310001,95,8.09,False
095430078091001,78,6.842,False
095506077311801,87,13.950000000000005,False
095510078070501,70,7.25,False
095515077530001,66,14.525,False
095530077323001,64,16.065000000000005,False
095630078311501,83,10.95,False
095700078400001,94,8.850000000000001,False
095701076271802,14,8.635,False
095715078291001,91,13.33,False
095730078181501,42,11.38,False
095745077270001,62,6.257,False
095815077474501,34,9.600999999999999,False
095900078400001,24,9.165,False
095900078400002,21,8.55,False
095910077481501,28,10.81,False
095918076142201,23,0.642,False
095945076342001,4,2.16,False
100018077065801,14,11.092000000000002,False
100018077065802,15,12.754,False
100048076571801,94,5.997,False
100107077005701,22,5.460000000000001,False
100154076520501,17,9.738,False
100300079030001,4,10.823,False
100353077062801,17,3.456,False
100430079020101,83,4.572,False
100515077040201,17,1.484,False
100622076372901,21,5.0,False
100642076212201,93,12.126000000000001,False
100655076313001,94,6.591,False
100703076285301,14,6.069,False
100712076320601,19,3.578,False
100713076272201,88,7.48,False
100713076272202,8,7.236000000000001,False
100716076340401,19,5.01,False
100720076115501,22,1.7,False
100733076232002,92,7.04,False
100740076180002,95,3.2600000000000007,False
100740076253501,96,7.3,False
100800079133001,71,2.31,False
100956079073001,85,6.3,False
101045078255001,60,11.176,False
101100078455001,37,9.474,False
101103078252501,44,8.225999999999999,False
101103078252503,8,8.988,False
101150076102001,41,2.02,False
101150076102002,19,1.794,False
101215076110601,11,1.88,False
101220076095501,10,1.8949999999999998,False
101220076095502,91,1.93,False
101230079041501,31,15.9,False
101320078145001,89,9.36,False
101330078224501,4,6.011,False
101350076115001,93,3.816,False
101350078580401,94,5.187,False
101357076112801,23,3.8360000000000003,False
101357076112802,23,1.238,False
101358078140001,67,8.219999999999999,False
101400078444501,68,5.913,False
101405077290001,86,7.135,False
101425076112801,25,3.262,False
101512078073001,18,11.185,False
101530077553001,79,14.91,False
101605077323001,83,3.34,False
101653078041501,30,15.446,False
101940077560001,49,13.056,False
102015077571501,30,8.251,False
102030077593001,47,39.616,False
102030079233001,44,11.547,False
102105077594001,89,5.140000000000001,False
102130077583002,23,7.3,False
102130078060001,85,12.590000000000002,False
102130078222001,68,9.5,False
102130079164501,35,5.928,False
102200077581501,58,4.173000000000001,False
102215079353001,78,4.773,False
102400079300001,59,6.368,False
102530079180001,70,7.103000000000001,False
103045076341501,93,7.43,False
103300079030001,11,7.8,False
103420078473001,34,7.947,False
103425079010001,93,7.359999999999999,False
103430076561501,39,4.912,False
103430078473001,54,8.437,False
103500077145001,86,3.27,False
103500078533001,69,14.9,False
103630076450001,91,6.6,False
103630077230001,89,4.884000000000001,False
103630078330001,63,7.33,False
103630078463001,64,11.446,False
103650078253002,52,7.558,False
103652078253101,25,9.666,False
103700076130001,13,8.256,False
103710076024901,21,4.12,False
103712077085501,11,9.95,False
103725077223001,63,3.416,False
103747076134001,18,7.005,False
103814075591701,20,4.175,False
103830076100501,57,18.490000000000002,False
103852076543401,34,6.829,False
103930076593001,4,6.097,False
104000076150001,98,8.58,False
104000076150002,36,12.510000000000002,False
104029075593001,94,5.485,False
104040076121001,81,6.57,False
104045077163001,31,20.97,False
104300078574401,67,8.238,False
104306079034501,72,5.394,False
104315079383001,79,4.41,False
104400079120001,81,8.85,False
104405079061501,79,21.32,False
104430078350001,61,14.7,False
104445079281501,61,4.3,False
104514076382001,61,9.49,False
104515076302001,20,13.185,False
104522076301601,19,6.226,False
104528076375401,13,15.948,False
104538076465801,13,5.2,False
104540075580001,97,6.553999999999999,False
