station_id,count,min,max,span_days,median_gap_days
293600076073001,19,1994-05-01,1998-08-25,1577,85.0
293600076073002,8,2012-11-05,2022-05-20,3483,191.0
293600076290001,57,1995-05-01,2014-05-15,6954,102.0
293602076194001,3,2015-05-15,2022-05-20,2562,1281.0
293628075323001,25,2012-11-05,2022-08-01,3556,158.5
293628075323002,11,2012-11-05,2020-11-30,2947,182.5
293630076153001,107,1994-05-01,2023-01-01,10472,92.0
293640074410001,6,2015-05-15,2022-05-20,2562,427.0
293720075430501,17,2003-01-05,2022-05-20,7075,116.0
293745076295501,3,2015-11-05,2022-05-20,2388,1194.0
293810076075001,32,2012-11-05,2022-11-01,3648,110.0
293830076130001,40,1994-05-01,2022-11-01,10411,92.0
293924076214701,1,2023-01-01,2023-01-01,0,
293924076214702,1,2023-01-01,2023-01-01,0,
293924076214703,1,2023-01-01,2023-01-01,0,
294000075550002,48,1994-08-01,2013-05-15,6862,102.0
294030076024501,63,1994-05-01,2012-05-15,6589,97.0
294110075550001,5,2015-01-05,2022-05-20,2692,627.0
294230075191501,5,2014-05-15,2015-05-15,365,87.0
294245074380501,109,1994-05-01,2023-01-01,10472,92.0
294255076355001,4,2015-05-15,2022-05-20,2562,427.0
294340076020001,7,2015-01-05,2022-05-20,2692,300.5
294345076023001,96,1994-05-01,2022-05-20,10246,102.0
294345076023002,1,2023-01-01,2023-01-01,0,
294347075153401,10,2015-11-05,2022-08-20,2480,141.0
294347075153402,9,2016-11-05,2022-08-20,2114,116.5
294439077545001,1,2023-01-30,2023-01-30,0,
294445076251501,57,1994-08-01,2019-01-01,8919,102.0
294500074365801,5,2015-05-15,2018-10-20,1254,300.5
294515074510001,62,2005-01-05,2023-01-01,6570,102.0
294528076180001,2,2015-11-05,2017-01-05,427,427.0
294548077520601,1,2023-01-30,2023-01-30,0,
294557076153801,6,2014-11-05,2022-11-23,2940,187.0
294625074313001,28,2012-05-15,2022-05-20,3657,102.0
294630074310001,89,1994-05-01,2020-01-10,9385,92.0
294630075041001,9,1994-08-01,2022-05-20,10154,304.0
294640076343001,69,1996-05-15,2019-08-20,8497,102.0
294640076343002,26,1994-05-01,2022-05-20,10246,120.0
294700074503001,102,1994-05-01,2023-01-01,10472,92.0
294730074423001,92,1994-05-01,2023-01-01,10472,102.0
294743075154501,1,2023-01-01,2023-01-01,0,
294800076180001,40,1995-11-01,2022-11-01,9862,174.0
294800076224801,10,2015-05-15,2023-01-01,2788,174.0
294800076240001,27,2007-01-05,2022-05-20,5614,116.0
294827077463301,12,2014-05-15,2023-01-30,3182,102.0
294830075211501,50,1994-05-01,2018-11-01,8950,92.0
294845076090001,18,2012-11-05,2022-11-01,3648,174.0
294910075480001,60,2007-08-25,2022-11-01,5547,80.0
294910075480002,1,2023-01-01,2023-01-01,0,
295027076085801,1,2023-01-01,2023-01-01,0,
295029076085701,1,2023-01-01,2023-01-01,0,
295030076085801,1,2023-01-01,2023-01-01,0,
295050076394101,27,2015-05-15,2022-11-01,2727,85.5
295050076394102,19,2015-05-15,2022-11-01,2727,88.5
295105076222001,24,2014-11-05,2023-01-01,2979,110.0
295114076221401,9,2016-05-15,2022-08-01,2269,182.5
295115075413001,54,1994-05-01,2007-05-15,4762,92.0
295120074410501,5,2015-05-15,2018-10-20,1254,300.5
295228075140501,2,2015-05-15,2015-11-05,174,174.0
295228077480001,43,2006-08-25,2023-01-30,6002,102.0
295320076342201,13,2012-11-05,2021-01-10,2988,182.5
295329075394001,1,2023-01-01,2023-01-01,0,
295329075394002,1,2023-01-01,2023-01-01,0,
295329075394003,1,2023-01-01,2023-01-01,0,
295330074381001,112,1994-05-01,2023-01-01,10472,80.0
295418076362405,1,2023-01-01,2023-01-01,0,
295418076362408,1,2023-01-01,2023-01-01,0,
295419076472401,8,2002-08-25,2009-01-05,2325,102.0
295449075201001,2,2015-05-15,2015-11-05,174,174.0
295500076550001,15,2015-05-15,2022-11-01,2727,169.5
295529075115401,9,2015-05-15,2022-08-20,2654,162.5
295535074403502,32,2013-01-05,2023-01-01,3648,80.0
295601075145401,9,2016-11-05,2022-08-20,2114,116.5
295715074441502,27,1994-05-01,2022-11-01,10411,134.5
295822077032601,4,2017-01-05,2022-05-20,1961,512.0
295906076141801,17,2018-05-01,2023-01-01,1706,71.5
300037076404401,4,2017-01-05,2022-05-20,1961,512.0
300057078121701,5,2023-01-30,2024-01-30,365,92.0
300130076534501,73,1996-01-05,2023-01-01,9858,102.0
300150075040001,49,2009-11-05,2023-01-01,4805,72.5
300215074204501,116,1994-05-01,2023-01-01,10472,78.0
300223076572501,2,2023-01-01,2023-08-20,231,231.0
300241074580101,15,2014-01-05,2022-08-20,3149,116.0
300255076203801,4,2015-05-15,2022-05-20,2562,427.0
300300077080001,4,2015-01-05,2022-05-20,2692,1113.0
300311074452801,8,2014-05-15,2022-08-20,3019,141.0
300315076333001,69,2000-08-25,2023-08-20,8395,106.0
300315076333002,20,2012-11-05,2023-08-20,3940,191.0
300319075055501,15,2014-01-05,2022-08-20,3149,116.0
300320075293001,104,1994-05-01,2022-11-01,10411,92.0
300327076545301,3,2017-01-05,2022-05-20,1961,980.5
300340076240001,4,2015-05-15,2022-05-20,2562,427.0
300345074041001,15,2012-11-05,2022-08-20,3575,116.0
300355076330601,4,2017-01-05,2022-05-20,1961,512.0
300400075133801,5,2017-11-05,2022-05-20,1657,174.5
300400075320001,53,2001-08-25,2022-05-20,7573,102.0
300400075321501,21,2017-08-25,2023-01-01,1955,73.0
300405074480501,118,1994-05-01,2023-01-01,10472,78.0
300405076292001,6,2015-05-15,2022-05-20,2562,427.0
300410077165101,84,1996-01-05,2022-11-01,9797,102.0
300410077165102,32,1994-05-01,2022-11-01,10411,110.0
300430076074501,13,2012-11-05,2018-06-01,2034,140.5
300444076400701,3,2017-01-05,2022-05-20,1961,980.5
300448075201001,11,2015-05-15,2022-08-20,2654,146.0
300507077040401,6,2015-05-15,2022-05-20,2562,427.0
300529074494401,27,2012-11-05,2019-01-01,2248,76.0
300530074524501,73,1994-05-01,2012-05-15,6589,85.0
300600076180001,22,1998-11-05,2023-01-01,8823,174.0
300600076200001,7,2013-05-15,2019-11-01,2361,365.0
300600076200002,35,1994-11-01,2014-05-15,7135,131.5
300600077164501,101,1994-05-01,2022-11-01,10411,94.5
300610076592001,4,2017-01-05,2022-05-20,1961,512.0
300620075105001,109,1994-05-01,2023-01-01,10472,85.5
300630076120001,9,2016-11-05,2022-05-20,2022,101.0
300644074150401,82,1994-05-01,2014-01-05,7189,72.0
300645075003001,116,1994-05-01,2023-01-01,10472,80.0
300646074044001,35,2012-11-05,2022-05-20,3483,85.5
300646074194001,1,2023-01-01,2023-01-01,0,
300646074194002,1,2023-01-01,2023-01-01,0,
300646074194003,1,2023-01-01,2023-01-01,0,
300650075253801,1,2023-01-01,2023-01-01,0,
300650075253802,1,2023-01-01,2023-01-01,0,
300650075253803,1,2023-01-01,2023-01-01,0,
300700076443301,2,2015-05-15,2017-01-05,601,601.0
300701075375001,11,2015-05-15,2022-08-20,2654,146.0
300715074481501,8,2016-11-05,2023-01-01,2248,110.0
300715076284401,10,2016-11-05,2022-08-20,2114,92.0
300724076525601,4,2017-01-05,2022-05-20,1961,512.0
300730076514601,10,2016-05-15,2023-01-01,2422,191.0
300732076424601,3,2017-01-05,2022-05-20,1961,980.5
300735074474601,12,2015-05-15,2022-08-20,2654,141.0
300737076502701,20,2016-05-15,2022-05-20,2196,80.0
300740074472001,88,1994-05-01,2019-01-01,9011,78.0
300741077021601,4,2017-01-05,2022-05-20,1961,512.0
300745076590001,81,1996-01-01,2023-08-20,10093,102.0
300750074400501,114,1994-05-01,2023-01-01,10472,78.0
300759076503101,3,2017-01-05,2022-05-20,1961,980.5
300803074424901,7,2014-01-05,2015-11-05,669,116.0
300830076370601,8,2012-11-05,2015-05-15,921,102.0
300855076411001,3,2017-01-05,2022-05-20,1961,980.5
